class,img_path,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191
class0,../Datasets/wang/Images/train/class0/0.jpg,0.00393677,0.00820923,0.017395,0.025472,0.0315959,0.0313822,0.029836,0.0274251,0.0288696,0.0293376,0.0296631,0.0328573,0.0325216,0.0312805,0.0309143,0.0314331,0.0303345,0.0323283,0.0303752,0.0314229,0.0320129,0.0315653,0.0319519,0.030009,0.029012,0.0265198,0.0236511,0.021108,0.0204773,0.01887,0.0185343,0.0172831,0.0155131,0.0140991,0.0119934,0.0105286,0.0100098,0.00985718,0.00950114,0.00874837,0.00813802,0.00698853,0.0059611,0.00502523,0.00445557,0.00348918,0.00323486,0.00345866,0.00362142,0.00325521,0.00275675,0.00219727,0.00172933,0.00139364,0.00150553,0.00116984,0.00132243,0.00101725,0.000905355,0.000325521,7.12077e-05,6.10352e-05,3.05176e-05,5.08626e-05,0.0042216,0.00662231,0.00787354,0.0130412,0.0177409,0.0204976,0.0226034,0.0216573,0.0227661,0.0254415,0.024821,0.0224101,0.0208842,0.0227458,0.0219116,0.0218709,0.0247803,0.0277913,0.0299581,0.0322571,0.0314331,0.0297038,0.0301208,0.0301208,0.031779,0.0309347,0.0324198,0.0313009,0.0282593,0.0255941,0.0227559,0.0226034,0.0217387,0.0208537,0.0202128,0.0200907,0.0183309,0.0167643,0.0158793,0.012797,0.0113017,0.00973511,0.0084432,0.00698853,0.00613403,0.00548299,0.00477092,0.00424194,0.00364176,0.00316366,0.00311279,0.00303141,0.00330607,0.00339762,0.00411987,0.00429281,0.00478109,0.00330607,0.000874837,0.000203451,6.10352e-05,2.03451e-05,0,0,0.0009257,0.00223796,0.00425212,0.00445557,0.00550334,0.00694784,0.0085144,0.00930786,0.0127157,0.0140889,0.0176086,0.0206095,0.0211894,0.022583,0.0255636,0.0275981,0.0288696,0.0299479,0.0300903,0.0293681,0.0306803,0.0301514,0.0311686,0.0317281,0.0311584,0.0287577,0.0287679,0.026357,0.0244853,0.0236003,0.0234375,0.0217489,0.0217997,0.0202026,0.0190938,0.0172729,0.0157674,0.0143534,0.0143026,0.012736,0.0126953,0.0128886,0.0123393,0.013682,0.0132446,0.0129089,0.011261,0.010966,0.0102437,0.00975545,0.0103149,0.0101115,0.00934855,0.009552,0.0107524,0.011261,0.00980632,0.00826009,0.00502523,0.00316366,0.00137329,0.000732422,0.000284831,8.13802e-05
class0,../Datasets/wang/Images/train/class0/1.jpg,0.000579834,0.0108236,0.0301615,0.0250753,0.0329692,0.0318807,0.0302734,0.0283508,0.0253499,0.025472,0.0266012,0.0247294,0.0283915,0.0298869,0.035085,0.0388896,0.0400798,0.0336202,0.0308126,0.0291443,0.0279846,0.0300191,0.026591,0.0246989,0.021403,0.0200094,0.0205994,0.020752,0.0182292,0.0178324,0.0161133,0.0152791,0.0142212,0.0139364,0.013855,0.0127157,0.0130514,0.0130717,0.0123596,0.0109151,0.00980632,0.00952148,0.00750732,0.00669352,0.00649007,0.00631714,0.00504557,0.00456746,0.00364176,0.00291952,0.00246175,0.00224813,0.00216675,0.00209554,0.00195312,0.00161743,0.00121053,0.000752767,0.000376383,0.000295003,0.000213623,0.00012207,8.13802e-05,8.13802e-05,6.10352e-05,0.00630697,0.0378825,0.0318604,0.035614,0.030955,0.0281474,0.0235189,0.0212809,0.0188904,0.0173747,0.0185649,0.0174561,0.0183512,0.0179036,0.0190125,0.0217794,0.0243429,0.0293172,0.036143,0.0326029,0.0283915,0.0259196,0.0266825,0.0254924,0.028422,0.0319519,0.0301717,0.02889,0.0271403,0.0272725,0.0267131,0.0231527,0.0181987,0.016215,0.0137024,0.0116069,0.0108134,0.0108439,0.0102336,0.00867717,0.00931803,0.00741577,0.00700887,0.00720215,0.00614421,0.00524902,0.00478109,0.0039978,0.00388591,0.00397746,0.00371297,0.00367228,0.00417074,0.00345866,0.00291952,0.00273641,0.00170898,0.000518799,0.000152588,9.15527e-05,2.03451e-05,0,0,0,0.00374349,0.0155741,0.0153402,0.0156759,0.0171916,0.0186564,0.0221049,0.0189412,0.0182597,0.0169983,0.0186361,0.0175171,0.0179545,0.0157369,0.0156657,0.0173136,0.0176188,0.0183614,0.019928,0.0218709,0.0244039,0.0260315,0.0342,0.0307719,0.0302226,0.0218201,0.0185343,0.0208537,0.0242411,0.0197245,0.0193787,0.021759,0.0207316,0.0189209,0.0184428,0.0187276,0.0199788,0.0192973,0.0169271,0.0134176,0.0123291,0.0128581,0.0120138,0.0125732,0.0131124,0.0132955,0.0133057,0.0124817,0.0113322,0.0107829,0.0109965,0.0103658,0.0105794,0.0108236,0.0102844,0.0101013,0.0110372,0.00811768,0.0047404,0.00259399,0.00175985,0.00120036,0.00184123
class0,../Datasets/wang/Images/train/class0/10.jpg,0.00418091,0.00789388,0.0138143,0.0199992,0.0254008,0.0260315,0.0257365,0.0248617,0.0254313,0.0279846,0.0281169,0.0272929,0.0273641,0.0278219,0.0269165,0.0260213,0.0257975,0.0252686,0.0253194,0.0247701,0.0217489,0.0215556,0.0213013,0.0201009,0.0216166,0.0194295,0.0180969,0.017985,0.016571,0.0164998,0.0183512,0.0167948,0.0150757,0.0151164,0.0130208,0.0109762,0.0104472,0.00969442,0.00937907,0.00889079,0.00855509,0.00842285,0.00848389,0.00848389,0.00816854,0.00897217,0.0100911,0.0102844,0.0105489,0.0119832,0.0157674,0.0173238,0.0174967,0.0167847,0.0140381,0.0134176,0.0129395,0.00835164,0.0010376,0.000101725,7.12077e-05,0,0,0,0.00418091,0.00661214,0.0112712,0.0146993,0.0152181,0.0149333,0.0142314,0.0142924,0.0157572,0.0157471,0.0178223,0.0192362,0.0201009,0.0212504,0.0202332,0.0210164,0.0221151,0.0241292,0.0238139,0.0231832,0.0260722,0.0247904,0.0252787,0.0243734,0.0223694,0.0221659,0.0232341,0.0224609,0.0214233,0.0194194,0.0182088,0.0183309,0.0196737,0.0183004,0.016276,0.0156657,0.0143433,0.014679,0.0132141,0.0131531,0.0120646,0.0108236,0.0106201,0.0103149,0.010203,0.00927734,0.009552,0.00935872,0.0101217,0.0108643,0.0131836,0.0148824,0.0170492,0.0226542,0.0245972,0.0249837,0.0305888,0.0145874,0.00080363,0.00016276,3.05176e-05,0,0,0,0.00102743,0.00194295,0.00278727,0.00395711,0.00426229,0.00539144,0.00563558,0.006073,0.00564575,0.00646973,0.00849406,0.00958252,0.0103048,0.0108744,0.0127055,0.0134379,0.0160929,0.0162455,0.0164591,0.0166423,0.0173543,0.0166016,0.0175578,0.0192871,0.0189819,0.0183818,0.0178426,0.0190837,0.0199382,0.0204468,0.0212708,0.0217489,0.021403,0.0215861,0.0211589,0.0200094,0.020284,0.0191549,0.019104,0.0189514,0.0198466,0.0189412,0.0183614,0.0179036,0.0176799,0.0179749,0.0192668,0.0206909,0.0220947,0.0230103,0.0269877,0.0311178,0.0352275,0.037262,0.0352071,0.0277303,0.0248718,0.0125732,0.0039266,0.00234985,0.00108846,0.000834147,0.000437419,0.000437419
class0,../Datasets/wang/Images/train/class0/11.jpg,0.00736491,0.00849406,0.0130208,0.015269,0.0197652,0.0251567,0.0261536,0.0300395,0.0311076,0.0330098,0.0393168,0.0394592,0.0395203,0.0383911,0.039093,0.0357259,0.0337219,0.0323283,0.0290426,0.0274455,0.0262248,0.0241089,0.0221863,0.0209045,0.0184123,0.0170797,0.0148926,0.014384,0.01297,0.0125631,0.0122884,0.0104879,0.0096639,0.00959269,0.0085144,0.00796509,0.00737508,0.00738525,0.00775146,0.00690715,0.00702922,0.00697835,0.00698853,0.00703939,0.00686646,0.00777181,0.00779216,0.00778198,0.00953166,0.00923665,0.00860596,0.00742594,0.00737508,0.00865682,0.00913493,0.0108439,0.0126851,0.0202433,0.00221761,0.000467936,0.000152588,8.13802e-05,1.01725e-05,0,0.00174967,0.00518799,0.00608317,0.00805664,0.0110575,0.0143738,0.0141805,0.0137431,0.0151774,0.0165304,0.0173136,0.0200704,0.0220032,0.0210775,0.0210266,0.0220744,0.0231323,0.024587,0.0250854,0.02771,0.0281779,0.0269775,0.0263468,0.0270284,0.0265401,0.0258789,0.0279541,0.0263265,0.0245768,0.0231527,0.0232035,0.0211589,0.0202738,0.0191956,0.0190633,0.0180562,0.0171407,0.0165609,0.0149943,0.0136414,0.0129395,0.0109049,0.0109863,0.0101522,0.00964355,0.00849406,0.00913493,0.00847371,0.00894165,0.00939941,0.0111186,0.0125936,0.0131226,0.0135091,0.0140076,0.0132039,0.0176188,0.0245972,0.00301107,0.00121053,0.000356038,9.15527e-05,2.03451e-05,0,0.00258382,0.00397746,0.00477092,0.00642904,0.00725301,0.00970459,0.0100301,0.00916545,0.0101929,0.00918579,0.00975545,0.0103556,0.0121867,0.0133464,0.0137024,0.0157064,0.0183614,0.0201416,0.0221659,0.0235901,0.0250956,0.0269674,0.0281372,0.0291952,0.0297139,0.0294596,0.0291341,0.0292053,0.0293783,0.028717,0.0274048,0.0274048,0.0267741,0.0249329,0.0222168,0.0205383,0.0198059,0.0185343,0.0164083,0.0153809,0.0150655,0.0140788,0.0126851,0.0127869,0.0106608,0.010203,0.00971476,0.0099589,0.00953166,0.0102844,0.0104777,0.0124817,0.0134989,0.0138652,0.0146993,0.0154521,0.0238546,0.0249634,0.00733439,0.00470988,0.00257365,0.00193278,0.00108846,0.00108846
class0,../Datasets/wang/Images/train/class0/12.jpg,0.011851,0.0272115,0.0611572,0.0703735,0.0593974,0.0488993,0.0401815,0.0375061,0.0368754,0.0349426,0.0368347,0.0347392,0.0310262,0.0291239,0.0272522,0.0242818,0.0233358,0.0208232,0.0203044,0.0190328,0.0190531,0.0175476,0.0158691,0.0141296,0.0125326,0.011261,0.0102946,0.00946045,0.00893148,0.00869751,0.00782267,0.0075175,0.00611369,0.00612386,0.00549316,0.00519816,0.00510661,0.00523885,0.00419108,0.00457764,0.0041097,0.00382487,0.00417074,0.00458781,0.00449626,0.00532023,0.00552368,0.00598145,0.00642904,0.00871786,0.00967407,0.00986735,0.00769043,0.00713094,0.00814819,0.00856527,0.00861613,0.00585938,0.000762939,0.00016276,4.06901e-05,1.01725e-05,0,0,0.0035909,0.0253805,0.0535075,0.0475057,0.0469157,0.0417175,0.037089,0.0309041,0.0274251,0.0268656,0.0266724,0.0271606,0.0267741,0.0261129,0.0252075,0.0235697,0.0236308,0.023112,0.0232239,0.0237325,0.022227,0.0212606,0.0208333,0.0208639,0.0192159,0.0169067,0.0165812,0.0150553,0.0142619,0.0124003,0.0109151,0.0105591,0.0100505,0.00834147,0.00664266,0.00606283,0.00598145,0.00619507,0.00542196,0.0052592,0.00511678,0.00512695,0.00472005,0.00500488,0.00491333,0.00464884,0.0045166,0.00515747,0.00657145,0.00761922,0.00981649,0.0113831,0.0143941,0.0142822,0.0154724,0.0147298,0.01356,0.00621541,0.00109863,0.000274658,0.000172933,5.08626e-05,1.01725e-05,1.01725e-05,0.000996908,0.00545247,0.0164795,0.0192057,0.020223,0.0208639,0.0246379,0.0270284,0.0259399,0.0250346,0.0236206,0.0237122,0.0233459,0.0219218,0.0220439,0.0216675,0.0217896,0.021637,0.0210775,0.020518,0.0210876,0.0204061,0.0214335,0.0199992,0.0190125,0.0190633,0.0189107,0.01946,0.0183614,0.0183614,0.0182699,0.0183614,0.0177917,0.0165812,0.0159709,0.0148621,0.0159403,0.0135803,0.0120951,0.0108948,0.010142,0.0108643,0.0102132,0.010376,0.00959269,0.0100199,0.0101217,0.0105693,0.0119731,0.0128682,0.0160014,0.019928,0.0197754,0.0206604,0.01946,0.01415,0.0111796,0.00634766,0.00316366,0.00206502,0.00107829,0.000712077,0.000528971,0.000569661
class0,../Datasets/wang/Images/train/class0/13.jpg,0.0269877,0.0281982,0.0454203,0.0560099,0.0555725,0.0487467,0.0435588,0.0367126,0.0349223,0.0336711,0.0315653,0.0307821,0.0300293,0.028005,0.0281881,0.0256144,0.0238139,0.0233765,0.0223592,0.0205994,0.0203044,0.018453,0.0178324,0.0169474,0.016744,0.0148112,0.0133769,0.0132039,0.0122375,0.0113525,0.0101522,0.00950114,0.00915527,0.00725301,0.00739543,0.00655111,0.00637817,0.0059611,0.00657145,0.00517782,0.00489299,0.00510661,0.00520833,0.00449626,0.00454712,0.00437419,0.00470988,0.00415039,0.00367228,0.00397746,0.00391642,0.00355021,0.00355021,0.0039266,0.00502523,0.00650024,0.00855509,0.00902303,0.00505575,0.00158691,0.000447591,0.000183105,4.06901e-05,1.01725e-05,0.00560506,0.0216573,0.0378418,0.0452576,0.0422974,0.0389913,0.0339559,0.0291545,0.0258993,0.0233154,0.0235291,0.0222371,0.0219116,0.0225525,0.021403,0.0212911,0.0227865,0.0221456,0.0237732,0.0244751,0.0261536,0.0244649,0.0249329,0.024526,0.0249125,0.0236816,0.0222982,0.020284,0.0183614,0.0177409,0.0155843,0.0145264,0.0131531,0.0118306,0.0114644,0.0100403,0.0101217,0.00934855,0.00879924,0.00830078,0.00798543,0.00745646,0.00717163,0.00694784,0.00658162,0.00633748,0.00633748,0.00578817,0.00563558,0.00617472,0.00612386,0.00632731,0.00619507,0.00769043,0.00895182,0.00876872,0.00921631,0.00656128,0.00220744,0.000712077,0.000193278,2.03451e-05,1.01725e-05,0,0.00140381,0.00511678,0.0111084,0.0190531,0.0287374,0.0354716,0.0323588,0.0296021,0.0281881,0.0264994,0.0259705,0.0267843,0.0251668,0.0253601,0.0245361,0.0248413,0.0264587,0.0259298,0.0250956,0.0253499,0.0254924,0.0235596,0.0228577,0.0218099,0.0207316,0.0194194,0.0201111,0.0191243,0.0189107,0.0181885,0.0175273,0.0162862,0.0154317,0.015625,0.01474,0.0132751,0.0123596,0.0121358,0.0111389,0.0102844,0.0104879,0.0105794,0.0101318,0.00970459,0.00924683,0.00898234,0.00888062,0.00911458,0.00861613,0.00815837,0.0086263,0.00841268,0.00788371,0.00754801,0.00868734,0.0106913,0.0126343,0.0084432,0.00467936,0.00270589,0.00134277,0.0009257,0.000630697,0.00084432
class0,../Datasets/wang/Images/train/class0/14.jpg,0.000823975,0.0113322,0.0164693,0.010142,0.0087382,0.0112915,0.0137533,0.0161845,0.0178324,0.0203247,0.0233561,0.0249023,0.0258382,0.0275167,0.0286051,0.0281576,0.028717,0.0299988,0.030426,0.0329692,0.0350749,0.0354919,0.0369364,0.035024,0.0345561,0.0329488,0.0313721,0.0281779,0.0252889,0.0208028,0.0177104,0.0145264,0.0125834,0.011027,0.0122172,0.0133769,0.0155538,0.0168966,0.0184937,0.019694,0.0195923,0.0197245,0.0158285,0.0128581,0.0101115,0.0074056,0.00614421,0.00461833,0.00320435,0.00283813,0.00218709,0.00221761,0.00244141,0.00292969,0.00408936,0.0041097,0.00253296,0.00138346,0.000559489,8.13802e-05,1.01725e-05,0,0,0,1.01725e-05,0.00897217,0.0114136,0.00723267,0.00532023,0.00464884,0.00521851,0.00727336,0.010437,0.0114543,0.0137227,0.0154215,0.0174154,0.0191956,0.0195618,0.0210876,0.0228678,0.0250041,0.0245565,0.0245768,0.0250753,0.0236613,0.0233561,0.0214844,0.0206604,0.0189311,0.0169576,0.0159302,0.0143636,0.0123698,0.0115763,0.0107931,0.0111389,0.0107931,0.0106608,0.0110474,0.0132751,0.0141703,0.0174866,0.0188599,0.0219625,0.025706,0.0287577,0.029541,0.0314026,0.0301514,0.0276794,0.0253703,0.0250244,0.0238749,0.0230509,0.0228678,0.0210266,0.0177511,0.0157572,0.0112203,0.00801595,0.00572713,0.00349935,0.00198364,0.00105794,0.000376383,0.00016276,5.08626e-05,2.03451e-05,0.00562541,0.0113831,0.00748698,0.00617472,0.00542196,0.0051473,0.00620524,0.00894165,0.0105184,0.0126343,0.0155843,0.0175374,0.0189006,0.0216777,0.0217896,0.0230815,0.0247701,0.0266113,0.026591,0.0256144,0.0252279,0.0236918,0.0231323,0.0217387,0.0208435,0.0211283,0.019989,0.0210368,0.0201619,0.0196737,0.0209147,0.0220947,0.0231934,0.0232646,0.0240682,0.026296,0.0272725,0.0304057,0.0313314,0.0354716,0.0343628,0.0353394,0.0326843,0.0278829,0.0215861,0.0153503,0.0101624,0.00687663,0.0041097,0.002889,0.00213623,0.00208537,0.00236003,0.00256348,0.00323486,0.00441488,0.0039266,0.00263468,0.00148519,0.000813802,0.000315348,9.15527e-05,4.06901e-05
class0,../Datasets/wang/Images/train/class0/15.jpg,0.01946,0.0340068,0.067393,0.0700989,0.0671692,0.0462545,0.0330912,0.0268046,0.0246379,0.0232137,0.0213114,0.0191345,0.0200907,0.0186361,0.0185445,0.0183309,0.0185852,0.0185343,0.0180054,0.0167948,0.0165914,0.0157878,0.0134888,0.0134583,0.0128988,0.0123291,0.011912,0.0113424,0.010203,0.0104472,0.00924683,0.00924683,0.00886027,0.00820923,0.00733439,0.00706991,0.00697835,0.00660197,0.00660197,0.00617472,0.00619507,0.00684611,0.00649007,0.00712077,0.00693766,0.00733439,0.00846354,0.0122274,0.0147603,0.0106303,0.0114848,0.0117086,0.0128682,0.0121358,0.013855,0.0154012,0.0180664,0.0108134,0.00135295,0.000284831,0.000132243,1.01725e-05,0,0,0.00441488,0.031779,0.0492655,0.0481873,0.0515442,0.0404256,0.0312805,0.0256246,0.0207926,0.0195109,0.0195007,0.0178121,0.0152486,0.0150655,0.0153503,0.0137634,0.0150859,0.0155945,0.0159912,0.0151571,0.0140686,0.0131531,0.0131124,0.01238,0.0128581,0.0121867,0.0126953,0.0136312,0.0136617,0.0131632,0.0140686,0.0131938,0.0123189,0.0125122,0.0117798,0.0101827,0.0111491,0.0108134,0.0101624,0.0104777,0.00968425,0.0130615,0.0157674,0.0133769,0.0119324,0.0120138,0.0114848,0.0111389,0.0116475,0.0121155,0.0126851,0.0148824,0.017985,0.0237223,0.0223999,0.0226746,0.0224202,0.00855509,0.00242106,0.000813802,0.000183105,6.10352e-05,0,1.01725e-05,0.00289917,0.00726318,0.0111084,0.010081,0.0102437,0.013682,0.0169576,0.0193176,0.0197652,0.0232239,0.0211487,0.0213114,0.0217285,0.0216166,0.0218302,0.0223083,0.0238546,0.024821,0.0229594,0.020813,0.0197042,0.0177612,0.0172119,0.0156759,0.0162048,0.0157166,0.0153097,0.0157979,0.0161031,0.015686,0.0171712,0.015564,0.0181376,0.0189819,0.0170593,0.0163269,0.0139669,0.0139364,0.0141602,0.0135193,0.0133158,0.0138957,0.0134684,0.0118408,0.0117086,0.00969442,0.0105693,0.0112406,0.0120239,0.0114339,0.0124105,0.0132141,0.0150045,0.0169067,0.0229696,0.0332642,0.0288493,0.0209961,0.0127258,0.00920614,0.00581869,0.00364176,0.00233968,0.00253296
class0,../Datasets/wang/Images/train/class0/16.jpg,0.0011495,0.0110881,0.0586548,0.0702922,0.056193,0.0479228,0.0412801,0.0318909,0.02771,0.0276489,0.0269267,0.0274556,0.031779,0.0331523,0.0344747,0.0345662,0.0362651,0.0366516,0.034434,0.0350647,0.0328267,0.0275879,0.0239054,0.0201619,0.0183105,0.0167847,0.0150452,0.0127055,0.0116781,0.0105896,0.00926717,0.00891113,0.00823975,0.00760905,0.00658162,0.00601196,0.00617472,0.00571696,0.00448608,0.00415039,0.00384521,0.00396729,0.00321452,0.00305176,0.00236003,0.00228882,0.00188192,0.0018514,0.00149536,0.00149536,0.00154622,0.00135295,0.00132243,0.00163778,0.00146484,0.00109863,0.00125122,0.00168864,0.00131226,0.000457764,6.10352e-05,1.01725e-05,0,0,0.00352987,0.0399272,0.128825,0.0739848,0.0457662,0.0324198,0.0259705,0.0240682,0.0240072,0.024943,0.0240072,0.0238647,0.0244548,0.0260925,0.0267537,0.0262858,0.0273844,0.0301717,0.0299581,0.0276998,0.0252482,0.0241597,0.0222168,0.0201111,0.0184835,0.0158183,0.0160522,0.0142314,0.0132039,0.0127055,0.0111084,0.0112813,0.0103455,0.00909424,0.00863647,0.00816854,0.0068868,0.00586955,0.0061849,0.0050354,0.0044047,0.00435384,0.00358073,0.00372314,0.00328573,0.00309245,0.00287882,0.00287882,0.00228882,0.0022583,0.00157674,0.00174967,0.00142415,0.00118001,0.000946045,0.00107829,0.00163778,0.00180054,0.000590007,0.000213623,9.15527e-05,1.01725e-05,0,0,0,0.00342814,0.0209351,0.0201213,0.0189209,0.017924,0.0183512,0.0176493,0.0157878,0.0165507,0.0185547,0.0193075,0.0219727,0.0252075,0.0271403,0.0290324,0.0304057,0.0302226,0.0310567,0.0309041,0.0298258,0.0305176,0.0316976,0.0329081,0.0338847,0.0337524,0.0323893,0.0318604,0.0293579,0.0240072,0.021993,0.019694,0.0180562,0.016215,0.0148926,0.0141398,0.0131327,0.0119934,0.0119527,0.0111491,0.0105591,0.0115153,0.0114034,0.0108643,0.00933838,0.00866699,0.00746663,0.00653076,0.00585938,0.00538127,0.00458781,0.00458781,0.00414022,0.00389608,0.00355021,0.00355021,0.00368245,0.00259399,0.00129191,0.00123088,0.000671387,0.000600179,0.000427246,0.000712077
class0,../Datasets/wang/Images/train/class0/17.jpg,0.00812785,0.033783,0.0511271,0.0400594,0.0450643,0.0513509,0.0609843,0.0623881,0.0539754,0.0492757,0.049113,0.0490112,0.0450541,0.0386353,0.0323385,0.0280355,0.0247192,0.0219727,0.0201721,0.0178731,0.0168864,0.0162862,0.0150553,0.012441,0.0104065,0.00759888,0.00631714,0.00520833,0.00373332,0.00393677,0.00321452,0.00293986,0.00287882,0.00297038,0.00279744,0.00241089,0.00243123,0.00198364,0.00216675,0.00197347,0.00210571,0.00189209,0.00203451,0.00211589,0.00194295,0.00231934,0.0019633,0.00232951,0.00250244,0.00275675,0.00312297,0.00366211,0.00446574,0.00548299,0.00782267,0.00996908,0.013031,0.0139669,0.00681559,0.00200399,0.000681559,0.000172933,0.00012207,2.03451e-05,0.00180054,0.0383606,0.0666606,0.0418396,0.0445557,0.0496623,0.0526428,0.0447795,0.0397644,0.0377197,0.0356344,0.0340068,0.0307719,0.0286967,0.0244548,0.0224508,0.021342,0.0204468,0.0199483,0.0180868,0.0158285,0.0152384,0.0140686,0.0145874,0.0129089,0.0130412,0.0134888,0.013682,0.0138753,0.0156047,0.0154521,0.0154215,0.0128886,0.0104777,0.00816854,0.00662231,0.0054423,0.00460815,0.00377401,0.00319417,0.00320435,0.00298055,0.0024821,0.00272624,0.00258382,0.00249227,0.00263468,0.00312297,0.00305176,0.00398763,0.00484212,0.00535075,0.00680542,0.00819906,0.00998942,0.0117594,0.0117289,0.00820923,0.00121053,0.000386556,0.00016276,7.12077e-05,2.03451e-05,0,7.12077e-05,0.0181885,0.0257874,0.0248311,0.0194194,0.0208537,0.0246073,0.0267537,0.0322469,0.0386353,0.0421244,0.0413717,0.0386454,0.036204,0.0335185,0.0290833,0.0256856,0.0204163,0.0175985,0.0157064,0.0159098,0.0164185,0.0178935,0.0181274,0.0184326,0.0196126,0.0205688,0.0194397,0.0181376,0.0168966,0.0145264,0.0134786,0.0119527,0.0112508,0.0106913,0.00940959,0.00835164,0.0083313,0.00785319,0.00731405,0.00719198,0.00769043,0.00815837,0.00974528,0.0102946,0.0122782,0.010966,0.0109456,0.00929769,0.00950114,0.009257,0.00990804,0.00923665,0.0097758,0.00972494,0.0127055,0.0112406,0.0053304,0.00339762,0.00213623,0.00153605,0.00118001,0.0010376,0.00111898
