image_path,gabor_hist_0,gabor_hist_1,gabor_hist_2,gabor_hist_3,gabor_hist_4,gabor_hist_5,gabor_hist_6,gabor_hist_7,gabor_hist_8,gabor_hist_9,gabor_hist_10,gabor_hist_11,gabor_hist_12,gabor_hist_13,gabor_hist_14,gabor_hist_15,gabor_hist_16,gabor_hist_17,gabor_hist_18,gabor_hist_19,gabor_hist_20,gabor_hist_21,gabor_hist_22,gabor_hist_23,gabor_hist_24,gabor_hist_25,gabor_hist_26,gabor_hist_27,gabor_hist_28,gabor_hist_29,gabor_hist_30,gabor_hist_31,gabor_hist_32,gabor_hist_33,gabor_hist_34,gabor_hist_35,gabor_hist_36,gabor_hist_37,gabor_hist_38,gabor_hist_39,gabor_hist_40,gabor_hist_41,gabor_hist_42,gabor_hist_43,gabor_hist_44,gabor_hist_45,gabor_hist_46,gabor_hist_47,gabor_hist_48,gabor_hist_49,gabor_hist_50,gabor_hist_51,gabor_hist_52,gabor_hist_53,gabor_hist_54,gabor_hist_55,gabor_hist_56,gabor_hist_57,gabor_hist_58,gabor_hist_59,gabor_hist_60,gabor_hist_61,gabor_hist_62,gabor_hist_63
Datasets/wang/Images/train/class3/319.jpg,3,3,3,3,10,14,13,19,26,49,65,79,146,175,198,253,276,376,479,643,886,1079,1453,1984,2722,3538,6085,13880,15922,9193,8050,7473,5891,4491,3402,2483,1792,1290,1023,795,562,443,332,206,156,126,79,55,19,17,10,4,5,1,4,1,3,3,3,2,4,1,1,2
Datasets/wang/Images/train/class3/330.jpg,2,3,2,2,9,18,23,29,28,35,53,61,66,93,97,90,119,152,202,252,326,431,599,843,1119,1588,2259,5094,6564,8251,11492,9381,8247,7997,9956,4454,3514,2597,3199,4711,1064,720,556,426,381,301,217,139,104,89,80,84,45,40,29,26,7,7,6,8,4,6,3,4
Datasets/wang/Images/train/class3/360.jpg,3,1,4,3,5,6,8,11,9,16,23,36,53,88,157,173,261,434,744,998,1594,2383,3380,4606,5959,7317,8830,10706,10517,8569,8670,7437,4939,3913,1964,1157,785,674,506,383,256,164,142,122,72,60,41,25,7,14,13,22,5,5,11,0,2,4,2,3,7,0,2,3
Datasets/wang/Images/train/class3/363.jpg,4,2,7,4,11,7,9,10,11,8,15,49,64,85,92,148,228,318,352,503,688,1001,1366,1928,3652,6789,8511,10777,12568,8324,7992,21096,3353,2854,1441,1096,829,568,381,279,243,163,109,93,78,49,34,21,13,7,8,11,7,3,13,6,9,4,0,0,4,1,3,5
Datasets/wang/Images/train/class3/376.jpg,11,16,14,14,12,13,17,14,24,24,43,32,47,112,131,186,276,343,455,627,787,1017,1413,2146,2968,5003,6943,9586,12946,11477,7927,5955,5060,4007,9991,3510,1266,839,652,530,428,301,222,181,142,129,88,67,55,42,31,25,16,23,20,13,16,11,14,10,11,16,4,5
Datasets/wang/Images/train/class3/355.jpg,4,1,4,3,6,10,14,10,11,15,16,17,23,19,20,29,35,39,47,67,66,114,129,181,280,342,458,648,860,1334,1917,2804,4414,7544,9656,10887,11120,10432,9536,8640,5200,3333,2325,1712,1120,737,549,361,285,224,172,107,92,71,65,42,44,38,35,16,4,5,6,9
Datasets/wang/Images/train/class3/346.jpg,3,4,1,4,3,4,1,4,11,23,13,26,35,37,52,73,83,113,142,201,251,327,422,544,708,899,1177,1554,2000,2468,3510,4663,7375,9886,9069,9454,10466,7626,4219,3231,2332,2142,4063,5053,1042,709,525,461,314,302,174,138,72,52,55,44,46,30,28,23,7,4,4,2
Datasets/wang/Images/train/class3/335.jpg,5,10,15,26,32,41,78,79,118,151,201,259,372,499,585,756,983,1309,1966,3234,7654,8080,7929,8803,10084,12206,8498,5518,11350,1987,1233,960,677,579,456,315,268,222,169,145,95,64,67,39,38,28,21,13,14,19,12,6,10,4,3,3,2,0,5,1,4,1,0,3
Datasets/wang/Images/train/class3/320.jpg,3,2,3,5,13,8,18,15,23,51,49,61,99,160,191,265,350,452,601,744,1047,1392,1975,2839,4453,7185,8774,13119,8650,8091,7931,5636,4747,4224,4818,2531,1979,1545,1063,755,568,411,302,264,207,173,118,78,85,58,47,32,22,12,14,11,6,10,4,1,2,6,2,4
Datasets/wang/Images/train/class3/343.jpg,3,1,2,2,4,5,8,12,18,29,52,56,77,79,100,129,171,267,360,438,524,630,758,874,1176,1425,1728,2396,3212,4452,5825,7104,11941,15007,10696,6047,4983,4032,3065,2311,1860,1440,1106,811,672,519,372,331,278,214,150,118,107,60,55,58,46,34,30,16,13,9,4,2
Datasets/wang/Images/train/class3/356.jpg,3,1,4,2,3,2,14,17,22,24,36,42,46,53,66,85,96,150,164,242,286,348,448,567,855,1210,1777,2722,4397,11960,8829,7604,7876,6845,8785,8656,4670,3213,8849,1661,1148,898,726,569,452,361,306,288,209,166,136,108,78,67,45,39,33,15,6,10,1,5,2,6
Datasets/wang/Images/train/class3/372.jpg,4,6,8,4,6,8,6,10,17,18,37,30,41,69,102,104,193,372,514,726,1138,1625,2556,4519,7877,10352,15040,9610,10098,11437,6639,6600,2704,1652,1128,824,636,451,341,237,152,101,80,68,40,33,16,5,10,8,6,10,6,6,5,4,2,5,2,1,1,1,0,3
Datasets/wang/Images/train/class3/336.jpg,4,1,2,0,9,3,14,14,11,6,9,21,21,44,82,86,128,189,282,350,496,660,945,1246,1719,2448,3586,5680,9301,11073,10335,9088,8141,8747,11515,3934,2235,1528,1111,763,584,467,378,282,221,158,100,86,50,40,23,23,14,14,9,6,4,2,5,2,3,2,1,3
Datasets/wang/Images/train/class3/322.jpg,5,6,4,12,20,19,21,31,42,54,87,84,114,143,229,362,426,557,716,857,1243,1606,2259,3168,3894,6256,9807,10260,9422,8355,7778,7015,4837,3249,2505,3828,2998,1650,938,722,531,446,342,330,236,193,162,112,92,50,59,54,30,14,14,6,13,12,6,6,5,3,4,5
Datasets/wang/Images/train/class3/359.jpg,3,2,4,10,10,15,20,32,40,43,39,64,89,151,137,192,260,316,407,488,670,819,1146,1614,1992,2592,4600,6266,6704,6501,6755,10406,12627,10917,7452,4944,2806,1726,1227,922,657,507,425,344,258,202,171,159,127,88,61,64,45,32,45,37,25,11,12,12,8,3,0,3
Datasets/wang/Images/train/class3/375.jpg,3,2,2,7,4,3,1,7,7,13,23,38,32,41,38,67,97,106,119,157,217,268,315,471,663,931,1200,1875,2682,6168,5852,5864,7108,9220,9309,7805,12149,8774,4767,3314,2735,1635,1091,713,526,401,349,287,213,138,95,87,79,53,47,35,28,20,17,14,3,8,5,6
Datasets/wang/Images/train/class3/333.jpg,12,14,22,26,29,33,60,58,82,134,172,276,347,477,744,1258,1828,2881,4775,7193,10575,13431,13555,11528,13889,4881,3811,1795,1280,919,635,399,253,205,152,123,107,93,81,36,29,26,12,10,7,5,9,1,3,1,2,4,1,3,4,4,2,0,2,0,2,1,2,5
